# rho, Re(G), Im(G)
  1.148897795591E+00 -4.204836285381E-02  1.212687744968E-01
  1.151503006012E+00 -4.090095115475E-02  1.225370557323E-01
  1.154108216433E+00 -4.001336511755E-02  1.230467207534E-01
  1.156713426854E+00 -3.805929758272E-02  1.257475106861E-01
  1.159318637275E+00 -3.708747874612E-02  1.261620094475E-01
  1.161923847695E+00 -3.445186424514E-02  1.296775627864E-01
  1.164529058116E+00 -3.332107920127E-02  1.300825766198E-01
  1.167134268537E+00 -3.256759114201E-02  1.297528661746E-01
  1.169739478958E+00 -2.969635068019E-02  1.328930464593E-01
  1.172344689379E+00 -2.946874676423E-02  1.315521447382E-01
  1.174949899800E+00 -2.813544413931E-02  1.319390613981E-01
  1.177555110220E+00 -2.711510662384E-02  1.317966107397E-01
  1.180160320641E+00 -2.540152977006E-02  1.325407808887E-01
  1.182765531062E+00 -2.367533197071E-02  1.332060856436E-01
  1.185370741483E+00 -2.171782120785E-02  1.340222845257E-01
  1.187975951904E+00 -2.290514343264E-02  1.309790141207E-01
  1.190581162325E+00 -2.147920040278E-02  1.311216122476E-01
  1.193186372745E+00 -1.921535017339E-02  1.320682944532E-01
  1.195791583166E+00 -1.687458512695E-02  1.329526744800E-01
  1.198396793587E+00 -1.392014967073E-02  1.343336001734E-01
  1.201002004008E+00 -2.049580193654E-02  1.265551597306E-01
  1.203607214429E+00 -1.485103746245E-02  1.302932972079E-01
  1.206212424850E+00 -2.120313717776E-02  1.233856030246E-01
  1.208817635271E+00 -1.478725217482E-02  1.275528799559E-01
  1.211422845691E+00 -1.827753480921E-02  1.235329382538E-01
  1.214028056112E+00 -1.256873575171E-02  1.264680688143E-01
  1.216633266533E+00 -9.899687563532E-03  1.270505166496E-01
  1.219238476954E+00 -1.072105842026E-02  1.251695280312E-01
  1.221843687375E+00 -6.669259766410E-03  1.264118674475E-01
  1.224448897796E+00 -8.829020398019E-03  1.238020878449E-01
  1.227054108216E+00 -2.117600437801E-02  1.152796487613E-01
  1.229659318637E+00 -2.339047578648E-04  1.262223704750E-01
  1.232264529058E+00 -1.466527567315E-02  1.173916536271E-01
  1.234869739479E+00 -2.455792394521E-02  1.114956289857E-01
  1.237474949900E+00 -3.804095186001E-02  1.044929461002E-01
  1.240080160321E+00 -1.834594499981E-02  1.131142677789E-01
  1.242685370741E+00 -1.421130633790E-02  1.134728828417E-01
  1.245290581162E+00 -2.374087413097E-02  1.091462725372E-01
  1.247895791583E+00  7.847502809576E-04  1.171480150708E-01
  1.250501002004E+00 -2.911674258031E-02  1.070949137034E-01
  1.253106212425E+00  1.230823428623E-02  1.191690744972E-01
  1.255711422846E+00 -7.519327745382E-03  1.114017102376E-01
  1.258316633267E+00 -3.642714002694E-02  1.028132963904E-01
  1.260921843687E+00 -3.466142215130E-02  1.039862090135E-01
  1.263527054108E+00  3.522949058270E-02  1.174293531482E-01
  1.266132264529E+00  3.529568884778E-02  1.162463550450E-01
  1.268737474950E+00 -1.402887279405E-02  1.042468432908E-01
  1.271342685371E+00  5.387419216000E-03  1.075164214300E-01
  1.273947895792E+00 -5.288930882749E-02  1.037279405195E-01
  1.276553106212E+00  3.289268356058E-02  1.078306884454E-01
  1.279158316633E+00 -2.101171552845E-02  1.034091164606E-01
  1.281763527054E+00 -1.063479439828E-02  1.037410108383E-01
  1.284368737475E+00  5.182905988787E-02  1.034755274743E-01
  1.286973947896E+00 -1.163165152657E-01  1.028131865732E-01
  1.289579158317E+00  1.003580536246E-01  9.642553217912E-02
  1.292184368737E+00 -1.328369583429E-02  1.030740113405E-01
  1.294789579158E+00  2.457455505911E-02  9.828146029586E-02
  1.297394789579E+00  3.287031922447E-02  9.481925932035E-02
  1.300000000000E+00  1.085979671312E-01  8.838637477838E-02
