# rho, Re(G), Im(G)
  2.240480961924E-01 -1.837272036065E-01  8.147240244413E+00
  2.266533066132E-01 -2.313005019806E-01  7.975640045210E+00
  2.292585170341E-01 -2.773293546663E-01  7.812784086802E+00
  2.318637274549E-01 -3.215393105626E-01  7.658076852578E+00
  2.344689378758E-01 -3.636768517614E-01  7.510929510793E+00
  2.370741482966E-01 -4.035134479959E-01  7.370763821332E+00
  2.396793587174E-01 -4.408489672035E-01  7.237015818131E+00
  2.422845691383E-01 -4.755144151369E-01  7.109139241705E+00
  2.448897795591E-01 -5.073739903628E-01  6.986608698905E+00
  2.474949899800E-01 -5.363264539840E-01  6.868922529925E+00
  2.501002004008E-01 -5.623058257838E-01  6.755605365564E+00
  2.527054108216E-01 -5.852814299941E-01  6.646210360895E+00
  2.553106212425E-01 -6.052573243711E-01  6.540321094664E+00
  2.579158316633E-01 -6.222711555480E-01  6.437553127017E+00
  2.605210420842E-01 -6.363924916147E-01  6.337555211383E+00
  2.631262525050E-01 -6.477206894642E-01  6.240010159602E+00
  2.657314629259E-01 -6.563823595751E-01  6.144635362589E+00
  2.683366733467E-01 -6.625284945644E-01  6.051182971908E+00
  2.709418837675E-01 -6.663313300402E-01  5.959439750695E+00
  2.735470941884E-01 -6.679810070600E-01  5.869226605189E+00
  2.761523046092E-01 -6.676821049138E-01  5.780397810900E+00
  2.787575150301E-01 -6.656501111068E-01  5.692839949930E+00
  2.813627254509E-01 -6.621078924143E-01  5.606470578341E+00
  2.839679358717E-01 -6.572822268627E-01  5.521236644521E+00
  2.865731462926E-01 -6.514004515928E-01  5.437112681405E+00
  2.891783567134E-01 -6.446872759470E-01  5.354098796977E+00
  2.917835671343E-01 -6.373618029447E-01  5.272218488870E+00
  2.943887775551E-01 -6.296347957349E-01  5.191516309882E+00
  2.969939879760E-01 -6.217062188072E-01  5.112055412079E+00
  2.995991983968E-01 -6.137630768504E-01  5.033914997606E+00
  3.022044088176E-01 -6.059775673234E-01  4.957187704560E+00
  3.048096192385E-01 -5.985055561832E-01  4.881976956221E+00
